"Offset","Length","Mnemonic","DataType","Name","Comment"
"0xf8","0x4","void _func_298(JNIEnv * env\, jobject obj\, jmethodID methodID\, void * args) *","_func_298 *","CallVoidMethodV",""
"0xfc","0x4","void _func_299(JNIEnv * env\, jobject obj\, jmethodID methodID\, jvalue * args) *","_func_299 *","CallVoidMethodA",""
"0x100","0x4","jobject _func_300(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, ...) *","_func_300 *","CallNonvirtualObjectMethod",""
"0x104","0x4","jobject _func_301(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, void * args) *","_func_301 *","CallNonvirtualObjectMethodV",""
"0x108","0x4","jobject _func_302(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_302 *","CallNonvirtualObjectMethodA",""
"0x10c","0x4","jboolean _func_303(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, ...) *","_func_303 *","CallNonvirtualBooleanMethod",""
"0x110","0x4","jboolean _func_304(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, void * args) *","_func_304 *","CallNonvirtualBooleanMethodV",""
"0x114","0x4","jboolean _func_305(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_305 *","CallNonvirtualBooleanMethodA",""
"0x118","0x4","jbyte _func_306(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, ...) *","_func_306 *","CallNonvirtualByteMethod",""
"0x11c","0x4","jbyte _func_307(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, void * args) *","_func_307 *","CallNonvirtualByteMethodV",""
"0x120","0x4","jbyte _func_308(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_308 *","CallNonvirtualByteMethodA",""
"0x124","0x4","jchar _func_309(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, ...) *","_func_309 *","CallNonvirtualCharMethod",""
"0x128","0x4","jchar _func_310(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, void * args) *","_func_310 *","CallNonvirtualCharMethodV",""
"0x12c","0x4","jchar _func_311(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_311 *","CallNonvirtualCharMethodA",""
"0x130","0x4","jshort _func_312(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, ...) *","_func_312 *","CallNonvirtualShortMethod",""
"0x134","0x4","jshort _func_313(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, void * args) *","_func_313 *","CallNonvirtualShortMethodV",""
"0x138","0x4","jshort _func_314(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_314 *","CallNonvirtualShortMethodA",""
"0x13c","0x4","jint _func_315(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, ...) *","_func_315 *","CallNonvirtualIntMethod",""
"0x140","0x4","jint _func_316(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, void * args) *","_func_316 *","CallNonvirtualIntMethodV",""
"0x144","0x4","jint _func_317(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_317 *","CallNonvirtualIntMethodA",""
"0x148","0x4","jlong _func_318(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, ...) *","_func_318 *","CallNonvirtualLongMethod",""
"0x14c","0x4","jlong _func_319(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, void * args) *","_func_319 *","CallNonvirtualLongMethodV",""
"0x150","0x4","jlong _func_320(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_320 *","CallNonvirtualLongMethodA",""
"0x154","0x4","jfloat _func_321(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, ...) *","_func_321 *","CallNonvirtualFloatMethod",""
"0x158","0x4","jfloat _func_322(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, void * args) *","_func_322 *","CallNonvirtualFloatMethodV",""
"0x15c","0x4","jfloat _func_323(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_323 *","CallNonvirtualFloatMethodA",""
"0x160","0x4","jdouble _func_324(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, ...) *","_func_324 *","CallNonvirtualDoubleMethod",""
"0x164","0x4","jdouble _func_325(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, void * args) *","_func_325 *","CallNonvirtualDoubleMethodV",""
"0x168","0x4","jdouble _func_326(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_326 *","CallNonvirtualDoubleMethodA",""
"0x16c","0x4","void _func_327(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, ...) *","_func_327 *","CallNonvirtualVoidMethod",""
"0x170","0x4","void _func_328(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, void * args) *","_func_328 *","CallNonvirtualVoidMethodV",""
"0x174","0x4","void _func_329(JNIEnv * env\, jobject obj\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_329 *","CallNonvirtualVoidMethodA",""
