"Offset","Length","Mnemonic","DataType","Name","Comment"
"0x328","0x4","void _func_438(JNIEnv * env\, jshortArray array\, jsize start\, jsize len\, jshort * buf) *","_func_438 *","GetShortArrayRegion",""
"0x32c","0x4","void _func_439(JNIEnv * env\, jintArray array\, jsize start\, jsize len\, jint * buf) *","_func_439 *","GetIntArrayRegion",""
"0x330","0x4","void _func_440(JNIEnv * env\, jlongArray array\, jsize start\, jsize len\, jlong * buf) *","_func_440 *","GetLongArrayRegion",""
"0x334","0x4","void _func_441(JNIEnv * env\, jfloatArray array\, jsize start\, jsize len\, jfloat * buf) *","_func_441 *","GetFloatArrayRegion",""
"0x338","0x4","void _func_442(JNIEnv * env\, jdoubleArray array\, jsize start\, jsize len\, jdouble * buf) *","_func_442 *","GetDoubleArrayRegion",""
"0x33c","0x4","void _func_443(JNIEnv * env\, jbooleanArray array\, jsize start\, jsize l\, jboolean * buf) *","_func_443 *","SetBooleanArrayRegion",""
"0x340","0x4","void _func_444(JNIEnv * env\, jbyteArray array\, jsize start\, jsize len\, jbyte * buf) *","_func_444 *","SetByteArrayRegion",""
"0x344","0x4","void _func_445(JNIEnv * env\, jcharArray array\, jsize start\, jsize len\, jchar * buf) *","_func_445 *","SetCharArrayRegion",""
"0x348","0x4","void _func_446(JNIEnv * env\, jshortArray array\, jsize start\, jsize len\, jshort * buf) *","_func_446 *","SetShortArrayRegion",""
"0x34c","0x4","void _func_447(JNIEnv * env\, jintArray array\, jsize start\, jsize len\, jint * buf) *","_func_447 *","SetIntArrayRegion",""
"0x350","0x4","void _func_448(JNIEnv * env\, jlongArray array\, jsize start\, jsize len\, jlong * buf) *","_func_448 *","SetLongArrayRegion",""
"0x354","0x4","void _func_449(JNIEnv * env\, jfloatArray array\, jsize start\, jsize len\, jfloat * buf) *","_func_449 *","SetFloatArrayRegion",""
"0x358","0x4","void _func_450(JNIEnv * env\, jdoubleArray array\, jsize start\, jsize len\, jdouble * buf) *","_func_450 *","SetDoubleArrayRegion",""
"0x35c","0x4","jint _func_451(JNIEnv * env\, jclass clazz\, JNINativeMethod * methods\, jint nMethods) *","_func_451 *","RegisterNatives",""
"0x360","0x4","jint _func_452(JNIEnv * env\, jclass clazz) *","_func_452 *","UnregisterNatives",""
"0x364","0x4","jint _func_453(JNIEnv * env\, jobject obj) *","_func_453 *","MonitorEnter",""
"0x368","0x4","jint _func_454(JNIEnv * env\, jobject obj) *","_func_454 *","MonitorExit",""
"0x36c","0x4","jint _func_455(JNIEnv * env\, JavaVM * * vm) *","_func_455 *","GetJavaVM",""
"0x370","0x4","void _func_456(JNIEnv * env\, jstring str\, jsize start\, jsize len\, jchar * buf) *","_func_456 *","GetStringRegion",""
"0x374","0x4","void _func_457(JNIEnv * env\, jstring str\, jsize start\, jsize len\, char * buf) *","_func_457 *","GetStringUTFRegion",""
"0x378","0x4","void * _func_458(JNIEnv * env\, jarray array\, jboolean * isCopy) *","_func_458 *","GetPrimitiveArrayCritical",""
"0x37c","0x4","void _func_459(JNIEnv * env\, jarray array\, void * carray\, jint mode) *","_func_459 *","ReleasePrimitiveArrayCritical",""
"0x380","0x4","jchar * _func_460(JNIEnv * env\, jstring string\, jboolean * isCopy) *","_func_460 *","GetStringCritical",""
"0x384","0x4","void _func_461(JNIEnv * env\, jstring string\, jchar * cstring) *","_func_461 *","ReleaseStringCritical",""
"0x388","0x4","jweak _func_462(JNIEnv * env\, jobject obj) *","_func_462 *","NewWeakGlobalRef",""
"0x38c","0x4","void _func_463(JNIEnv * env\, jweak ref) *","_func_463 *","DeleteWeakGlobalRef",""
"0x390","0x4","jboolean _func_464(JNIEnv * env) *","_func_464 *","ExceptionCheck",""
"0x394","0x4","jobject _func_465(JNIEnv * env\, void * address\, jlong capacity) *","_func_465 *","NewDirectByteBuffer",""
"0x398","0x4","void * _func_466(JNIEnv * env\, jobject buf) *","_func_466 *","GetDirectBufferAddress",""
"0x39c","0x4","jlong _func_467(JNIEnv * env\, jobject buf) *","_func_467 *","GetDirectBufferCapacity",""
"0x3a0","0x4","jobjectRefType _func_468(JNIEnv * env\, jobject obj) *","_func_468 *","GetObjectRefType",""
