sha256,java,native,lib,time
67d8494829841cbf9badc471a0613b4ca909e848e825e6abac00d054f1d1ade4, 139,4,0, 41.709797382354736
67d8494829841cbf9badc471a0613b4ca909e848e825e6abac00d054f1d1ade4, 16389,0,0, 35.25390672683716
67d8494829841cbf9badc471a0613b4ca909e848e825e6abac00d054f1d1ade4, 135,0,0, 33.1609411239624
5fb8cabd3dd8d4caca3f626f96419ea70e4fe401a25d1e25d37801018c5c33e7, 135,0,0, 32.185941219329834
67d8494829841cbf9badc471a0613b4ca909e848e825e6abac00d054f1d1ade4, 135,0,0, 32.642741680145264
67d8494829841cbf9badc471a0613b4ca909e848e825e6abac00d054f1d1ade4, 135,0,0, 42.32876515388489
67d8494829841cbf9badc471a0613b4ca909e848e825e6abac00d054f1d1ade4, 135,0,0, 42.04367399215698
5fb8cabd3dd8d4caca3f626f96419ea70e4fe401a25d1e25d37801018c5c33e7, 135,0,0, 41.898850202560425
67d8494829841cbf9badc471a0613b4ca909e848e825e6abac00d054f1d1ade4, 135,0,0, 41.967392444610596
67d8494829841cbf9badc471a0613b4ca909e848e825e6abac00d054f1d1ade4, 0,0,0, 2.0700736045837402
67d8494829841cbf9badc471a0613b4ca909e848e825e6abac00d054f1d1ade4, 17129,740,94, 56.419859886169434
5fb8cabd3dd8d4caca3f626f96419ea70e4fe401a25d1e25d37801018c5c33e7, 17129,740,94, 58.76702547073364
67e794151dd32338e0b1935a77aca5b9a8d87c12c7a088326c2e9f2fff048279, 23612,740,94, 70.13234305381775
ac4d0a01a927e84cbdf8c8b5f7ddbd3d07bb79c4e80e8ed0b85dd83121025705, 56171,217,0, 112.70700359344482
42d758ba933ad52fe0b5a719c0d88c9040372811d53f585a931a00b15176d1cf, 101,20,0, 261.61634254455566
aaa2fd1edd5deb06a2c79eb1c920d2f0ceb1435131089841ae3bdb0aecf415b4, 14385,1057,1, 239.24492168426514
5f0532ba1c7c4c1a16bf201a6ad84694ce079587996ee1983d84296aaa27bc49, 10524,740,94, 63.681034326553345
1eed87aa70b51454be3e5eb1898633b1b2600db9c102f80630ceda9959b66aae, 20450,740,94, 138.40241289138794
efe368b0131387125f61f1e260a60140598ba8660cc29fe52f6b98f92dc08405, 78113,75,0, 250.83687090873718
611338471a379ed674f5aa1b4b7a0f9edde4ac5e0ae211b3dca178e69366b4d8, 20377,740,94, 62.98025727272034
c7c46f7e5f58b1e6912bc0638475840741caed5685af0ab6b563a637b92d41a3, 20447,740,94, 63.76587891578674
413182232ba222eed14dd97729a468f17e3f353655e1c04c32c3549e6e4fd685, 49590,740,94, 124.32453489303589
39bcc2325c3304b04fee7a82b263dcab978f0053acef8da98f485d35406a93f8.cache, 0,0,0, 7.891654968261719e-05
5ea66f982dd60d5ba6251d2e23ecaa9a50927f0c12298ac522a28480be235eb4, 30144,740,94, 89.27207231521606
2b7343896f640ed5b41b8e062101e372eac72f52f231ee5fda94ac4f39fa555e, 47,20,0, 774.7059924602509
3f06b707eb3a10445cbb155b23ff2374b7094bc9ab132e0c4e33d68da3e7a291, 65863,75,0, 224.9019958972931
27cfb1825486f02b7838dacf573fd45134d13b159ebb6a199301b32466915a05, 40202,740,94, 100.23982405662537
44efa6f54dbe00964ead14f43a9b64e447760436a1b99529535f406021b9e262, 27881,220,0, 3467.0131344795227
4fc7651fcf75fd527a9b572ab6a900eb569a78ce8159d6a7436b69e70651a85a, 12386,999,0, 10968.308470487595
37e5b63e3038abc52cc19a31aacf9aa889dd52e9fe40c42eaa8474b73fbb6703, 23158,0,0, 98.22974991798401
2c47f0f264e7bf3704add37d02b665268a31adbe91c91a3487f2e38a442504be, 17123,740,94, 58.248889684677124
4ae1c0faa06ee4dfb6c96b6537d027e90c870d7d3ddcfd5fcde680be9dc51c69, 108,0,0, 268.1151976585388
33af4b3acca35b70112fc6a2fbc369eabd7f8c3f1e99d0db76d4f84d24ee3a6e, 17123,740,94, 58.812787771224976
4a595d6ad083a662076b3907bcc2f5c508d63e2a7d3c0c12b4ccab98870557fd, 20481,740,94, 64.03546667098999
ad2d1366ce17d00889f98a2e258e448df1c3bd20bdf7cd24667cc70f4eddf68b, 297,54,0, 16247.161155462265
31b2ba2f2c1fb196dd38017134b5402dde24803f764de6962f68d2c71edbabdf, 20475,740,94, 76.74009990692139
e28d6feff2c5eee2117c2a63f319d599ceb1aaf5ae831b4474f69a8ed7befe89, 65863,75,0, 218.92606925964355
b5c82034117c447659481738982e54be3ce707a803eacdb2797de00a76f34508, 20709,740,94, 127.02616572380066
d7d47abc80cdbc7d0aedf9b8e863e28f0b79ca47d71155a3d364ef096df98d7e, 30144,740,94, 85.48388433456421
41bef70c968f3eb259387baf4a1e5175fe55cadd988fbc6926583c6c40a12634, 35735,8614,4, 655.9515359401703
54f84dbb2a95a53af72e7346cbe139bdea1759c92c50ad202b66e8f6d548d876, 30200,740,94, 82.77014112472534
2cc82a65fd6a370021b2773338620f78fc0d5a09ce315ec9e94db37ffd885367, 43,16,0, 464.0996472835541
2a704d286ee23f29f05fdadadbae1aaca74c908a27a70d37049fbfa656b60abf, 16772,75,0, 126.09255862236023
00d878739873b7ef94786acbd3fa334f3c038e1b0370e2428cb476d836fb9b2c, 17009,740,94, 58.891966819763184
6ba772433e60d6908c1208a0b6f7be4d26872ba66833706da77279ac68d907af, 9922,5,0, 207.81974935531616
2d2c183a82b5f13e458946defa3d2dc361b6fbb1321fe0535dab40fca4b7c272, 20444,740,94, 139.66399431228638
27e7182937b196a1f4da4bd4835033c4cf011ad460d1b43882a5b6165beae765, 20444,740,94, 64.05786228179932
1870813fa67e3ceaedd50aea5378acd2104f8158ecff4c4934a07c55f6d0f44a, 30211,740,94, 83.0130386352539
19048945a3b5d05dc7794fc9ab559c345923297e6bb950f03534fa9b0f72ae30, 20450,740,94, 65.15818929672241
4db9e1f36c97542188b3601f2e1823968989cbe0ac3b481b8e29f565cfd213ee, 269,26,0, 956.4952569007874
2baf6e70672789096752383f0dfda9774a3fef55cd64c5ad7fe5ce02f4beb8fb, 23633,740,94, 94.66215491294861
0c9f0cf005d34e251239fed8623b4c112e30ee6630e2b8dec0de449d3b276d8c, 29,2,0, 170.68428754806519
2d1eee053f84bfff1c9f4f82cad96dd60d04596236df9b929a921e32bf4efb0a, 26930,740,94, 135.09240555763245
22670788ea0108e1e205f34e0a039f994bc94f19563b6f09784074b41f61cc53, 17210,740,94, 70.04087114334106
2c2458fdc1112a6175d6ff4b4388a8f01ef0f02d9f95e101eaabb0bd2903b377, 65863,75,0, 221.40447783470154
10032dc19f609ed8b7577a5620c87a1bd9605ef0b12654e5983982cd640c0d89, 48956,75,0, 189.76497888565063
ed6ae6a425d76c10840beae316ac575aef589dff973d4eecc3b1f31ecfed3fab, 49887,75,0, 4628.692987442017
ac48e0526730a611d363ae5dbfd2f3aa4296bd71c66e13b9db3d272b754edcd9, 13885,740,94, 137.15004801750183
e51a17e86e10dbfda43488f7a38c466537ef6faf9105812b7861972ad4962ef5, 246419,15382,11, 1315.5810115337372
7fcc7930246c32e31b28b9c6657ec3a7ddc0697cba8711ca9b347834339dc6aa, 29584,740,94, 75.72109413146973
9c6c6a40b7e5f69dd51657c6f0c330f77e967c64e1bbfee2e03034b52d3b4ed3, 64517,111,0, 111.79211330413818
ae01cac8d8c73050d1adc3d2d0ded9f9d530e4574be5ffd17427984c75469c61, 17138,740,94, 58.04597520828247
fe5fe15cde9f9271c31e686582307a2f3bad8f09aafdee942a5d3497107a4d22, 26549,0,0, 244.862042427063
82469085f7f459054b82bd1a17ec8b07d4dbf7ffa8f89f632a6d7c7c04a0ef54, 13901,740,94, 91.60088300704956
b24b268c7c9574bb5ffa48c239f77089bd14ba3ea8b6dde3da42958569477d01, 30144,740,94, 87.14165472984314
e23ee2230619f27f7beed38200eb97ef8cbb200b448a08b68e7baa179f127688, 40253,740,94, 99.8663079738617
e8a1a1f495bcc6bd0e4e2335e6816005b491517c2116b446e7c2e384ffad61a0, 65863,75,0, 219.1141517162323
95365f74b549edbe39e5162dc5c005283a7f31a72b847ef55692b184f7515335, 39925,740,94, 134.035653591156
bd5d51ea642fd40fee31f2177257e33e91385a036415ba70aea86270765edaab, 26984,740,94, 76.43820977210999
acf5f94f46b4a3c5f8b1d53accf11f1e6cff56aaad50e7b0f9e1d85fc8656c0c, 26973,740,94, 75.31950759887695
e9484114f77952ece8234927bcc865886938c41f4f4657741f01b22a214e10fa, 36667,740,94, 128.26265239715576
d7ee7a41f36958ae62e5434395190e1f427c415260dbd4fb62fd2900c0dcaae2, 36032,75,0, 168.6184458732605
d0f06064fd7c105afb139a30010104e1fe4a41a0967e450f9509ed7aa793aa1a, 30573,740,94, 81.2636137008667
d33c36e9b28cda0c83324a7ed49237960d6c2f0865cce9cfcda691f0a05169d7, 13404,300,0, 86.7988932132721
8e662a20ad2a049b9b11c770d47c2db0c555ae2a863c7eef57a394dae1d40f6b, 26973,740,94, 76.36755061149597
d6c057170770ac92bb16ea36217105f42e60281fd49415af035a3a8076fd6181, 13855,740,94, 73.35477566719055
ded693418a1c5368e377ac654e06a5bac04faff52ee0ef42a31eebcbf1cca2e0, 70331,740,94, 152.16327118873596
80612fe193401626268553c54a865e67b76311e782005ede2ba7a87a5d637420, 17999,740,94, 63.29935145378113
db293fd1f3ab31b677b5e10a8f2176b7b286b64d2e491ace0c53b32fc252e8ad, 14,14,0, 935.466237783432
e5bdddd04c0a90f80298f187f2f3ca39341352ae3e9be2964cf61e4879bacece, 65863,75,0, 220.01702547073364
ffbd2c7ac562d6907c7f931bdcd4acf9dada03d4173e5b088b201fa9712f373b, 65863,75,0, 219.8731701374054
efde47aa921f1036abe076cba0d7ed00f8b1d0ed30898823437ff98b32da094c, 65863,75,0, 218.05804443359375
c846a255f1192c3199d13fb11466a714a86fe1c9eba08357c1f0c08de5be8b16, 245,2,0, 272.0121488571167
de68ac7b595350de4a21104f7a9b9786b3a05ce0a318c92b525e8f4d801bbbeb, 17162,740,94, 63.22126388549805
a6291a63e3b4e8e3b58e96db2a98ba918e674b21b3483ec0a69da5c5594390d8, 17236,740,94, 58.260546922683716
e048ec0e7dac4a5de661cc028a0c08590929a4719a7e032fe088613988c642e1, 23747,740,94, 81.55769538879395
c140a16408a4af17f2aaac7a997f8b00ccef3d099ddb1caac2472e28fd5f2c30, 269,26,0, 552.79847240448
ae7d2cbb3195e0c2b5186180dc55618529ded7f44e02e7c18570a5eab37c7015, 23116,0,0, 63.42582297325134
cad383793714838b9314753930b9acb4501e8c2f2af9e7bded3c58aa6928c9e6, 216,0,0, 642.2583191394806
e756abaabdda267d08872c7e4aa22eb36d9f9e818ad88dfea7d4b5d21e90d01b, 20489,740,94, 69.49746227264404
aab8fa17b2cbcc7c7224b311b6ed9a72eb66897539c58355e829f3021d6f75fe, 65863,75,0, 218.70575070381165
9c589e849f1c1bdeecccbf86406e5e77152d884584707a07dbdc582f925e71c3, 20489,740,94, 70.01637101173401
9c6990766a0965792c1289b3d6d088862e74a8069d0ef3a2860d230921aa2684, 189,0,0, 650.4906022548676
72865adb5bafda646f6f60834e0462e1626c88f075e4161f3ce0ebf217d6c4cb, 26866,740,94, 76.15879440307617
fa266ac8a78e22bd2ad34ca85f5f8d9679e908a8542a59faa07bdd9e6e2be4cb, 17220,740,94, 57.905879497528076
b705f464aa4e7759e57e68c086a1ce266aed5797df728aa6a6588654c21bac59, 36291,75,0, 176.65496611595154
9fbe204763745c5757dfdca9d7db80a73e858d49f3789f909247405640e870b9, 26973,740,94, 75.2099142074585
e173fa29e054381db5b1b287c35094f71556e3dbe9cd29f223edd1efea6d51ad, 65863,75,0, 220.03650069236755
